vx,vy,vz,xpos0,ypos0,photons0,xpos1,ypos1,photons1
3.96968,0,-8.91312,-25,0,2,25,0,10
6.37417,0,-4.89534,-25,0,16,25,0,31
6.73371,0,8.40548,-99.9,-99.9,-1,25,0,1
-0.540298,0,-6.65811,-25,0,481,25,0,426
17.5917,0,3.37245,-25,0,58,25,0,167
21.4595,0,7.80585,-25,0,74,25,0,349
-10.6422,0,7.68183,-99.9,-99.9,-1,-99.9,-99.9,-1
8.32358,0,5.95723,-25,0,182,25,0,281
-10.3208,0,8.34435,-25,0,1,25,0,1
-15.2631,0,-7.55285,-25,0,1,-99.9,-99.9,-1
2.39859,0,8.17603,-25,0,4,25,0,4
-14.2811,0,8.03006,-25,0,594,25,0,304
-15.5914,0,5.2577,-25,0,200,25,0,103
-1.65685,0,9.29675,-25,0,64,25,0,71
3.74838,0,-9.7349,-25,0,306,25,0,322
17.8335,0,-2.4474,-99.9,-99.9,-1,25,0,1
3.91013,0,-9.27433,-25,0,371,25,0,460
8.12709,0,-8.16977,-25,0,600,25,0,770
21.272,0,6.17154,-25,0,23,25,0,88
2.85372,0,8.13195,-25,0,17,25,0,17
14.2002,0,-6.92882,-25,0,48,25,0,113
-2.35336,0,-9.09019,-25,0,921,25,0,1109
-16.273,0,-0.510264,-25,0,642,25,0,271
-4.01995,0,0.34804,-25,0,185,25,0,156
-15.2454,0,-8.2511,-25,0,1338,25,0,671
12.894,0,-0.554703,-99.9,-99.9,-1,25,0,1
-10.1805,0,-0.745897,-25,0,402,25,0,265
-8.88491,0,-9.22671,-25,0,15,25,0,6
-15.8385,0,-5.6372,-25,0,141,25,0,59
11.432,0,9.88734,-99.9,-99.9,-1,-99.9,-99.9,-1
19.7888,0,2.42744,-99.9,-99.9,-1,25,0,1
11.3507,0,-5.37157,-25,0,176,25,0,314
1.60342,0,-9.12907,-99.9,-99.9,-1,25,0,1
-18.9146,0,-9.76604,-25,0,2,25,0,1
-18.1987,0,-4.43329,-25,0,571,25,0,314
-6.38619,0,9.69342,-25,0,58,25,0,28
-3.40037,0,-2.44474,-99.9,-99.9,-1,-99.9,-99.9,-1
4.73421,0,-9.64126,-99.9,-99.9,-1,-99.9,-99.9,-1
13.5986,0,-5.37756,-99.9,-99.9,-1,25,0,1
-1.18066,0,0.483305,-25,0,183,25,0,167
9.19923,0,7.20069,-99.9,-99.9,-1,-99.9,-99.9,-1
4.39435,0,-5.62267,-25,0,1,-99.9,-99.9,-1
-6.17863,0,6.69537,-99.9,-99.9,-1,-99.9,-99.9,-1
-14.43,0,-2.17345,-25,0,76,25,0,108
-4.75849,0,-7.74413,-25,0,48,25,0,38
2.05741,0,9.79444,-25,0,1,-99.9,-99.9,-1
-5.00657,0,-0.993271,-25,0,244,25,0,207
-16.3601,0,-1.03993,-25,0,1859,25,0,681
6.31539,0,2.88208,-25,0,13,25,0,15
-2.83429,0,3.09205,-25,0,576,25,0,542
15.8523,0,-8.15794,-25,0,102,25,0,225
6.6282,0,-8.69811,-99.9,-99.9,-1,-99.9,-99.9,-1
15.4826,0,3.4334,-25,0,552,25,0,844
-15.7262,0,-1.93545,-25,0,754,25,0,315
